company_name,event_type,Title,Link,Published,Summary
Bergdorf Goodman,Opening,Fashion designer Silvia Tcherassi to open first Texas boutique in River Oaks District - KHOU,https://www.khou.com/article/news/local/silvia-tcherassi-texas-boutique-river-oaks/285-19e51a36-3090-40f5-9a3e-c5dcabe1e5a6,"Fri, 21 Aug 2026 19:45:00 GMT",Fashion designer Silvia Tcherassi to open first Texas boutique in River Oaks District KHOU
Birch Lane,Closing,S. Lewis Boulevard lane temporarily closing - KCAU 9 News,https://www.kcau9.com/news/local-news/traffic-local-news/s-lewis-boulevard-lane-temporarily-closing/,"Fri, 21 Aug 2026 20:10:52 GMT",S. Lewis Boulevard lane temporarily closing KCAU 9 News
America's Best Contacts & Eyeglasses,Opening,America’s Best Contacts & Eyeglasses to Open in Prosper - WhatNow,https://whatnow.com/dallas/retail/americas-best-contacts-eyeglasses-to-open-in-prosper/,"Thu, 20 Aug 2026 02:53:21 GMT",America’s Best Contacts & Eyeglasses to Open in Prosper WhatNow
America's Best Contacts & Eyeglasses,Opening,Fireclay Tile Plans Dallas Showroom - WhatNow,https://whatnow.com/dallas/retail/fireclay-tile-plans-dallas-showroom/,"Thu, 20 Aug 2026 02:24:54 GMT",Fireclay Tile Plans Dallas Showroom WhatNow
America's Best Contacts & Eyeglasses,Opening,Fly Dance Fitness to Open New Studio in Arlington - WhatNow,https://whatnow.com/dallas/retail/fly-dance-fitness-to-open-new-studio-in-arlington/,"Sat, 22 Aug 2026 01:21:02 GMT",Fly Dance Fitness to Open New Studio in Arlington WhatNow
Brioni,Closing,Nashville retailer Levy's Clothier closing after 171 years. See photos - The Tennessean,https://amp.tennessean.com/picture-gallery/money/business/2026/08/20/nashville-retailer-levys-clothier-closing-photos/91360747007/,"Thu, 20 Aug 2026 20:25:00 GMT",Nashville retailer Levy's Clothier closing after 171 years. See photos The Tennessean
DoDo,Opening,New Dodo Coffee flagship set to open in Fayetteville - KNWA FOX24,https://www.nwahomepage.com/northwest-arkansas-news/new-dodo-coffee-flagship-set-to-open-in-fayetteville/,"Sat, 22 Aug 2026 21:16:27 GMT",New Dodo Coffee flagship set to open in Fayetteville KNWA FOX24
Eyemart Express,Opening,Eyemart Express in Troy celebrates grand opening - Miami Valley Today,https://miamivalleytoday.com/eyemart-express-in-troy-celebrates-grand-opening/,"Thu, 20 Aug 2026 10:32:00 GMT",Eyemart Express in Troy celebrates grand opening Miami Valley Today
Goldfish Swim School,Closing,New pool being built in Thurston County for swim school at shopping center - The Olympian,https://www.theolympian.com/news/local/article316943080.html,"Thu, 20 Aug 2026 16:49:52 GMT",New pool being built in Thurston County for swim school at shopping center The Olympian
Jersey Mike's,Opening,Jersey Mike’s is Set to Open in the Rayford Crossing Retail Center - WhatNow,https://whatnow.com/houston/restaurants/jersey-mikes-is-set-to-open-in-the-rayford-crossing-retail-center/,"Fri, 21 Aug 2026 01:37:44 GMT",Jersey Mike’s is Set to Open in the Rayford Crossing Retail Center WhatNow
