city,link,title,date,image
Austin,https://communityimpact.com/san-marcos-buda-kyle/business/new-running-shoe-store-to-open-in-san-marcos-outlets/,New running shoe store to open in San Marcos outlets,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435984.jpg&w=1920&q=75
Austin,https://communityimpact.com/cedar-park/business/bonbon-badminton-tennis-relocates-from-liberty-hill-to-cedar-park/,Bonbon Badminton & Tennis relocates from Liberty Hill to Cedar Park,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435862.jpg&w=1920&q=75
Austin,https://communityimpact.com/lake-travis-westlake/business/check-out-11-events-happening-around-the-lake-travis-westlake-area/,Check out 11 events happening around the Lake Travis-Westlake area,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435664.jpg&w=1920&q=75
Austin,https://communityimpact.com/georgetown/business/pet-store-tomlinsons-feed-coming-to-georgetown/,Pet store Tomlinson's Feed coming to Georgetown,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435764.jpeg&w=1920&q=75
Austin,https://communityimpact.com/new-braunfels/business/sugar-and-spice-desserts-to-serve-texas-sized-stuffed-cookies-in-and-around-new-braunfels/,Sugar and Spice Desserts to serve Texas-sized stuffed cookies in and around New Braunfels,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435939.jpeg&w=1920&q=75
Austin,https://communityimpact.com/san-marcos-buda-kyle/business/tex-mex-opening-development-updates-and-sun-city-expansion-read-6-trending-austin-area-stories/,"Tex-Mex opening, development updates and Sun City expansion: Read 6 trending Austin-area stories",1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435936.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/allen/business/racing-miami-the-melting-pot-check-out-4-business-updates-in-allen/,"Racing Miami, The Melting Pot: Check out 4 business updates in Allen",1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435850.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/prosper-celina/business/17-business-updates-in-prosper-celina/,"17 business updates in Prosper, Celina",1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435993.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/prosper-celina/business/burn-boot-camp-targets-august-opening-date-in-celina/,Burn Boot Camp targets August opening date in Celina,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435932.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/grapevine-colleyville-southlake/business/the-back-nine-to-offer-indoor-golf-in-southlake/,The Back Nine to offer indoor golf in Southlake,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435931.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/denton/business/dogtopia-to-open-first-denton-location-this-fall/,Dogtopia to open first Denton location this fall,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435881.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/keller-roanoke-northeast-fort-worth/business/zumiez-to-open-new-location-at-tanger-outlets-fort-worth/,Zumiez to open new location at Tanger Outlets Fort Worth,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435872.jpg&w=1920&q=75
Houston,https://communityimpact.com/the-woodlands/business/urban-outfitters-in-the-woodlands-mall-moving-to-new-location/,Urban Outfitters in The Woodlands Mall moving to new location,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F436027.png&w=1920&q=75
Houston,https://communityimpact.com/spring-klein/business/locally-owned-auto-repair-shop-community-1st-car-care-now-serving-spring/,Locally-owned auto repair shop Community 1st Car Care now serving Spring,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435982.jpeg&w=1920&q=75
Houston,https://communityimpact.com/bay-area/business/schafers-coastal-kitchen-to-open-in-october/,Schafer's Coastal Kitchen to open in October,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435989.jpg&w=1920&q=75
Houston,https://communityimpact.com/sugar-land-missouri-city/business/school-preparation-new-park-6-trending-stories-in-the-south-houston-area/,"School preparation, new park: 6 trending stories in the South Houston area",1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435944.jpg&w=1920&q=75
Houston,https://communityimpact.com/heights-river-oaks-montrose/business/resting-rainbow-pet-cremation-to-open-first-houston-location/,Resting Rainbow pet cremation to open first Houston location,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435957.jpg&w=1920&q=75
Houston,https://communityimpact.com/new-caney-porter/business/relocated-wells-fargo-bank-now-serving-customers-in-valley-ranch-town-center/,Relocated Wells Fargo bank now serving customers in Valley Ranch Town Center,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435760.JPG&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/business/feliz-modern-now-open-in-the-san-antonio-international-airport/,Feliz Modern now open in the San Antonio International Airport,"June 22, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F06%2F22%2F429681.jpg&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/business/james-avery-artisan-jewelry-now-open-in-schertz-station/,James Avery Artisan Jewelry now open in Schertz Station,"June 19, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F06%2F19%2F429448.jpg&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/austin/arnold-mane-hair-salon-now-open-in-new-braunfels/,Arnold & Mane hair salon now open in New Braunfels,"April 30, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F30%2F418300.jpeg&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/business/roundup-3-updates-from-san-antonio-businesses-in-march/,Roundup: 3 updates from San Antonio businesses in March,"April 8, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F02%2F11%2F408950.jpg&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/business/curator-coffee-celebrates-5-years-serving-north-san-antonio/,Curator Coffee celebrates 5 years serving North San Antonio,"April 8, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F07%2F418302.jpg&w=1920&q=75
San Antonio,https://communityimpact.com/san-antonio/business/new-family-owned-pizza-shop-opens-in-north-san-antonio/,New family-owned pizza shop opens in North San Antonio,"April 7, 2026",https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F04%2F07%2F417637.jpg&w=1920&q=75
Bryan - College Station,https://communityimpact.com/bryan-college-station/business/new-dairy-queen-coming-to-bryan/,New Dairy Queen coming to Bryan,2d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F06%2F435787.png&w=1920&q=75
Bryan - College Station,https://communityimpact.com/bryan-college-station/business/citymax-pawn-expands-with-3rd-aggieland-shop/,Citymax Pawn expands with 3rd Aggieland shop,3d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F05%2F435610.png&w=1920&q=75
Bryan - College Station,https://communityimpact.com/bryan-college-station/business/texas-am-partners-with-buc-ees-to-launch-joint-merchandise/,Texas A&M partners with Buc-ee's to launch joint merchandise,4d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F04%2F435411.png&w=1920&q=75
