city,link,title,date,image
Austin,https://communityimpact.com/northwest-austin/business/think-lounge-boosts-flexible-child-care-and-co-working-options/,Think Lounge boosts flexible child care and co-working options,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436371.jpg&w=1920&q=75
Austin,https://communityimpact.com/central-austin/business/brother-friend-closes-its-pease-park-coffee-pop-up-after-five-years/,Brother Friend closes its Pease Park coffee pop-up after five years,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436088.jpeg&w=1920&q=75
Austin,https://communityimpact.com/central-austin/business/goodies-to-expand-from-california-to-austin-with-new-permanent-location/,Goodies to expand from California to Austin with new permanent location,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F435797.jpg&w=1920&q=75
Austin,https://communityimpact.com/georgetown/business/summer-moon-coffee-opens-in-georgetown/,Summer Moon Coffee opens in Georgetown,3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436301.jpg&w=1920&q=75
Austin,https://communityimpact.com/central-austin/business/austin-padel-center-now-offering-indoor-padel-courts-amenities/,"Austin Padel Center now offering indoor padel courts, amenities",4h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436076.png&w=1920&q=75
Austin,https://communityimpact.com/cedar-park/business/chewy-vet-care-coming-to-cedar-park/,Chewy Vet Care coming to Cedar Park,5h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436330.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/prosper-celina/business/barbies-house-offers-custom-design-services-unique-home-decor-in-prosper/,"Barbie’s House offers custom design services, unique home decor in Prosper",4h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F435174.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/denton/business/more-than-7k-in-grants-given-to-denton-businesses-for-31-days-of-halloween-decor/,More than $7K in grants given to Denton businesses for 31 Days of Halloween decor,7h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436277.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/denton/business/the-altar-to-bring-community-events-experiences-to-denton/,"The Altar to bring community events, experiences to Denton",8h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436265.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/keller-roanoke-northeast-fort-worth/business/pho-restaurants-remodeled-businesses-take-a-look-at-14-keller-roanoke-northeast-fort-worth-business-updates/,"Pho restaurants, remodeled businesses: Take a look at 14 Keller, Roanoke, northeast Fort Worth business updates",9h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F11%2F436209.jpg&w=1920&q=75
